Local claim ID,Claim,Period/date,Nippur context,Evidence type,Primary evidence,Secondary interpretation,Counterevidence/disagreement,Confidence,Generalization limit,Project relevance,Design status
C-C01,Adoption could join heirship/property arrangements to lifetime support.,Lipit-Enlil d; Rīm-Sîn 43,Two Nippur adoption dossiers,Primary,"D01 rev. 3–8; D12 obv. 18–20, rev. 1",S05; S06; comparison here,"Clauses establish obligations, not their performance.",HIGH,"Two contractual examples, not frequency or exclusive motive.",Continuity involved obligations as well as titles.,NO DESIGN DECISION
C-C02,A woman explicitly designated nadītu acted as adopter and disposed of assets attributed to her father’s gift.,Rīm-Sîn 43,Narāmtum dossier,Primary,D12 obv. 1–17,S06; S04 corrections,Adopter’s status is explicit; Narubtum’s purported religious status is not.,HIGH,One named adopter; no general rule for all women or nadītu.,Female agency in intergenerational transmission.,NO DESIGN DECISION
C-C03,Adoptive affiliation did not require erasure of earlier identifying parentage in surviving records.,Lipit-Enlil d; Rīm-Sîn 43 to Samsu-iluna 4; undated OB,"Lu-Bau, Ur-Pabilsaga and Ilī-u-Šamaš",Primary,D01 obv. 3–6; D12 obv. 2; D14 seal; D18 seal,S05; S06; S07,"Filiation is an identification convention, not proof of ongoing residence or support.",HIGH,"Recorded names, not a complete map of social ties.",Multiple relationship histories remained legible.,NO DESIGN DECISION
C-C04,Adoption/heir appointment could occur alongside marriage and involve several named heirs.,Samsu-iluna 6,Nannāja–Lamassum/Mannum dossier,Mixed,D05 parties and heir list,S01 reconsiders payment and family reconstruction,Damaged payment clause; four heirs’ common maternity not established.,MODERATE,One combined agreement; no general stepchild adoption rule.,Conjugal and succession arrangements could intersect.,NO DESIGN DECISION
C-C05,Likely identification of Ninurta-muballiṭ links heir appointment in year 6 to a further adoption in year 11.,Samsu-iluna 6 and 11,Awīlīja’s family,Mixed,D05; D09 filiation and witnesses,S01 prosopographic comparison,No explicit cancellation or concurrent validity of earlier affiliation.,MODERATE,Identity linkage stronger than reconstruction of legal coexistence.,Affiliations could be renegotiated over a life course.,NO DESIGN DECISION
C-C06,The revised date of Mannum’s partition is year 10 rather than year 23.,"Samsu-iluna 10, month 3",Mannum/Munawwirum estate division,Mixed,D06; S01 pp. 26–27 re-edition; D07 contextual cross-check,S01 original correction,Older digital date reading persists; no new photographic collation made here.,HIGH,Edition-based chronology of this tablet.,Changes the order of inheritance and subsequent acquisitions.,NO DESIGN DECISION
C-C07,An adoption-only account of Mannum’s resources is not established by the consulted sequence.,Samsu-iluna 6–12 and later,Mannum dossier,Mixed,D05–D08; D10 indirect purchase evidence,S01 rejects inheritance being too late to matter,Chronological possibility does not prove how particular purchases were financed.,MODERATE,No quantified causal wealth model or complete accounts.,Multiple transmission channels must remain analytically distinct.,NO DESIGN DECISION
C-C08,A mixed estate could be partitioned through itemized allocations and compensation.,Sîn-iqīšam 3/4; Samsu-iluna 4,Lu-Bau and Narāmtum dossiers,Primary,D02/D03; D14/D15,S01; S03 competing interpretations,Comparable house areas do not make every asset equal or demonstrate universal shares.,HIGH,These recorded divisions only.,"Fission was selective reallocation, not necessarily total social separation.",NO DESIGN DECISION
C-C09,A prior gift to a daughter could require a later settlement with other family claimants.,"Hammurabi 31, referring to earlier gift",Nin-kuzu/Nuska-amaḫ heirs,Primary,"D04 gift, compensation and waiver",S01 family reconstruction,Not automatically a death-triggered inheritance or standard dowry.,HIGH,One documented settlement.,Earlier acts continued to structure later claims.,NO DESIGN DECISION
C-C10,Estate division dates cannot automatically be treated as dates of death.,Hammurabi 31 to Samsu-iluna 10,Nuska-amaḫ succession,Mixed,D04 heirs; D06 later partition,S01 links the named persons,"Death is inferred from heirs and sequence, not directly dated.",MODERATE,Depends on prosopographic identification.,Succession could be temporally extended.,NO DESIGN DECISION
C-C11,Inherited built property could be exchanged for fractions of recurring institutional rights.,Samsu-iluna 10/03/23,Mannum–Munawwirum,Primary,D07 exchange clauses,S01; S11 only discovery lead,"Service performance, income and residence unrecorded; seal patronym issue.",HIGH,One recorded exchange; not a uniform prebend economy.,The composition of transmitted resources could change.,NO DESIGN DECISION
C-C12,A retrospective expense settlement transferred an institutional entitlement from heirs to the provider.,Samsu-iluna 10/09/03,Mannum and Ibbī-Enlil’s heirs,Primary,"D08 expense tablet, examination and transfer",S01 discussion,Recognition of expenditure is not a complete account of care or proof of adoptive relation.,HIGH,"Specific settlement, not a universal filial entitlement.",Claims arising during life could affect a later estate.,NO DESIGN DECISION
C-C13,Property could return to an earlier owner’s family through a later conveyance by successor-side parties.,Samsu-iluna 29 attribution; earlier purchase recalled,Ninurta-rāʾim-zērim/Mannum family,Mixed,D11; proposed purchase parallel D10 catalogue-only,S02; S01,Exact identity with D10’s built plot not fully verified.,MODERATE,Legal chain clearer than exact physical parcel history.,Continuity and recombination could cross family boundaries.,NO DESIGN DECISION
C-C14,A mother’s appearance among joint vendors does not by itself establish guardianship or her ownership share.,Samsu-iluna 29 attribution,"Narubtum, Iddin-Ištar and Ninurta-muballiṭ",Mixed,D11 vendor list,S02 distinguishes possible legal capacities,Text does not fully specify why each vendor had to consent.,MODERATE,"An evidentiary limit, not denial of women’s rights.",Avoids inferring authority or household composition from signatures alone.,NO DESIGN DECISION
C-C15,An earlier adoption was invoked in a later division of Narāmtum’s estate.,Rīm-Sîn 43 to Samsu-iluna 4,Ur-Pabilsaga/Narubtum dossier,Primary,D12; D14 rev. 1–5; D15 parallel,S06; S03 offers hybrid-template interpretation,Retrospective title clause need not be a new adoption between the partitioners.,HIGH,Two separated documentary endpoints; intermediate story incompletely verified.,Legal relationships could remain consequential decades later.,NO DESIGN DECISION
C-C16,"The later estate division included separately named enslaved women and men, with land used as a balancing allocation.",Samsu-iluna 4/10/21,Narāmtum estate,Primary,D14 obv. 6–18; D15,S06; S03,Not evidence that all lived together or that adopted enslaved heirs occur in this sample.,HIGH,"Recorded allocations; lived experiences and family consequences largely absent.","Transmission affected dependent persons, not only things.",NO DESIGN DECISION
C-C17,"Perpetual co-ownership, survivorship and continued co-residence are not demonstrated by the partition text alone.",Samsu-iluna 4/10/21,Narubtum–Ur-Pabilsaga,Mixed,"D14/D15 allocations, adoption history, waiver",S03 proposes a stronger continuity interpretation,Stronger reconstruction may be testable with the full archive; not disproved universally.,MODERATE,"Conclusion about evidentiary sufficiency, not all actual outcomes.",Separates legal settlement from a continuous residential household.,NO DESIGN DECISION
C-C18,Repudiation clauses anticipated termination; one separate court record documents an actual termination process.,Rīm-Sîn 43; Samsu-iluna 11; undated OB,Narāmtum; Ninurta-muballiṭ; Ilī-u-Šamaš,Primary,D12 rev. 2–11; D09; D18 obv. 14–rev. 3,S07 revised reading incorporated in D18,Court narrative damaged; no outcome rate or generic fixed penalty established.,HIGH,"Different documentary stages, not equivalent event counts.","Continuity was legally contestable, not automatic or irreversible.",NO DESIGN DECISION
C-C19,The court record extends its exclusion of claims to the rejected heir’s heirs.,Undated Old Babylonian,Ilī-u-Šamaš/Amurrum-šēmi,Primary,D18 obv. 17–rev. 3,S07,Long-term compliance and subsequent litigation not documented.,HIGH,The scope of the recorded instrument only.,A rupture could be framed to affect future generations.,NO DESIGN DECISION
C-C20,No securely mapped residential continuity is established for the two principal dossiers in this return.,Core nineteenth/eighteenth-century regnal sequence,"Nippur attribution, often no exact findspot",Mixed,D01–D16 provenance fields; D18 has excavation number only,S08 full archaeological book inaccessible,"A research access/provenance limitation, not a claim that houses cannot be identified.",HIGH,Conclusion limited to sources actually consulted.,Prevents converting legal/prosopographic continuity into co-residence.,NO DESIGN DECISION
