Audit_ID,Item,Earlier_or_problematic_form,Treatment_in_this_return,Evidence,Consequence,Confidence
C-A01,"MC 3, 51",Old year 23 reading,"Samsu-iluna 10, month 3, in Meinhold’s re-edition",S01 pp. 26–27; D06; D07,Changes causal sequence; inheritance no longer automatically too late for early acquisitions,HIGH — edition-based; no fresh collation
C-A02,"TMH 10, 18a/b date",Year 21 in S03 p. 4 n. 14,"Day 21, month 10, Samsu-iluna year 4",D14 rev. 18–19; D15; screenshot of S03 p. 4,Prevents a seventeen-year displacement,HIGH
C-A03,"TMH 10, 18a/b property clause",Older one-third of Narāmtum’s property,Updated text reads all possessions; older reading retained as disputed history,D14 rev. 1; S03 p. 3 n. 12 acknowledges difference,Do not build three equal fractions or survivorship on an unstable reading,MODERATE — interpretation sensitive to reading
C-A04,"TMH 10, 18c envelope",Simplified or incomplete joins; treated as extra event,HS 2132 + 2154 + 2361 + 2870 + 2884; envelope related to 18a,S04 p. 253; D16,Correct witness count and association,HIGH — published collation
C-A05,"TMH 10, 18c translation",Mutual-consent wording generalized across all witnesses,Földi deletes it for envelope translation; 18a displays agreement formula,S04 p. 253; D14 rev. 5,Keep witness-specific corrections witness-specific,HIGH
C-A06,"TMH 10, 15",Rīm-Sîn 4 in catalogue,Rīm-Sîn 2 according to Földi,D20; S04 p. 253,Exclude from chronology until editorial discrepancy reconciled,MODERATE
C-A07,ARN 41 object number,Ni 1924 in some secondary discussion,CDLI gives Ist Ni 01923,D13 catalogue,Avoid fetching or merging the wrong tablet,HIGH — catalogue identity
C-A08,"OECT 8, 20 period tag",Generic Early OB c.2000–1900 BCE,Use Lipit-Enlil d regnal formula,D01 rev. 17 and chronology,Do not push a precisely dated text out of the approved frame by generic metadata,HIGH
C-A09,"BE 6/2, 64 date/translation",Certain year/month implied by older translation,Year 29 is edition-based; catalogue year uncertain; month 2 per date formula,D11,Keep regnal uncertainty and avoid contradictory modern month names,MODERATE
C-A10,"OECT 8, 16 and 11 seals",Genealogical assumptions imposed on every seal,Displayed patronyms/name forms do not fully agree with body or reconstruction,D07; D08; S01,"Retain discrepancy, do not silently repair digital text",UNRESOLVED
C-A11,S03 area conversions,Inconsistent modern square-metre figures,Retain ancient units; no modern-area computation imported,"S03 pp. 3, 22; D14/D15",Prevents fabricated precision in reconstructed estate sizes,HIGH — discrepancy observed
C-A12,Namesakes Narubtum,Single citywide person assumed,Keep Mannum-side Narubtum and Migir-Enlil’s daughter separate absent evidence,D11 versus D14/D15,Prevents synthetic extended genealogy,HIGH — methodological separation
C-A13,"OECT 8, 19 father name",Ibni-Enlil in digital edition versus Ibbī-Enlil in linked settlement,Retain variant and label the cross-document identification,D25 rev. 5/seal; D08; S01,Matching heir group supports a link but does not authorize silent emendation,MODERATE
C-A14,"TIM 4, 13 and 14 provenance",Unqualified Nippur claim in general page header,Detailed provenience fields mark Nippur uncertain,D26; D27,Keep both texts supplementary and qualify local inference,HIGH — metadata discrepancy
