Document_ID,Event_group,Case,Publication_identifiers,CDLI_ID,Museum_number,Date,Genre,Language,Access_status,Nippur_context,Locator,Direct_evidence_or_indirect_report,Limits_and_issues,Edition_sources,URL,Accessed
D01,E01,A,"OECT 8, 20 = MC 3, 23",P283648,Ashm 1926-0391,"Lipit-Enlil d, month 6",Adoption; property grant; support,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur attribution; precise excavated house/locus not established in the consulted record,"obv. 1–14; rev. 1–9, 16–17","Ur-Lumma adopts Lu-Bau, son of E-lūti, as heir; property and institutional rights; lifetime provisions specified.",Performance not documented; generic Early OB catalogue range does not match the more precise regnal attribution.,S13; S05; S01,https://cdli.earth/artifacts/283648,2026-09-19
D02,E02,A,"OECT 8, 17 = MC 3, 24",P283644,Ashm 1926-0377,"Sîn-iqīšam 3/4, month 12 (year-numbering uncertainty retained)",Estate partition,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur attribution; precise excavated house/locus not established in the consulted record,"allocations, closing kinship clause, date",Nanna-meša and Adda-kalla divide a mixed estate; heirs of Lu-Bau.,"Parallel D03 represents the same division, not an independent family sample.",S13; S05; S01,https://cdli.earth/artifacts/283644,2026-09-19
D03,E02,A,"OECT 8, 18 = MC 3, 53",P283645,Ashm 1926-0378,"Sîn-iqīšam 3, month 12 in CDLI; 3/4 retained for comparison",Parallel estate partition,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur attribution; precise excavated house/locus not established in the consulted record,obv. 1–24; rev. 1–22; seals 1–2,"Built property, open plots, fields, gate rights, doors and wagon components; Nanna-meša elder brother; both seals identify sons of Lu-Bau.",Legal allocation is not a mapped physical subdivision; heirs/sons wording is not proof of different biological status.,S13; S05; S01,https://cdli.earth/artifacts/283645,2026-09-19
D04,E03,A,"OECT 8, 4 = MC 3, 25",P283650,Ashm 1926-0379,"Hammurabi 31, month 5",Settlement acknowledging earlier gift,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur attribution; precise excavated house/locus not established in the consulted record,obv. gift and compensation; rev. releases/date,Nin-kuzu’s earlier paternal gift of 15 gin built property is acknowledged; heirs of Nuska-amaḫ waive claims following compensation.,Father’s prior gift is not necessarily an inheritance on death; date of waiver is not date of all earlier events.,S13; S05; S01,https://cdli.earth/artifacts/283650,2026-09-19
D05,E04,A,"MC 3, 27 = CUSAS 15, 4 = YOS 15, 73",P270638,RMC 004,"Samsu-iluna 6, month 7",Marriage and appointment of heirs,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur attribution; precise excavated house/locus not established in the consulted record,obv. 1–12; rev. conditions/date,"Nannāja marries Lamassum and appoints Mannum, Ninurta-muballiṭ, Sîn-māgir and Ina-Ekur-rabi as heirs.",Damaged ten-shekel provision and family relationships disputed; common biological maternity not established.,S05; S16; S01,https://cdli.earth/artifacts/270638,2026-09-19
D06,E05,A,"MC 3, 51 = CUSAS 15, 23",P270657,RMC 023,"Samsu-iluna 10, month 3, according to Meinhold 2015 pp. 26–27; supersedes older year 23 reading",Estate partition,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — CDLI plus published re-edition,Catalogue provenience uncertain; Nippur archive attribution through dossier,allocations; closing heir clause; rev. date; seals; S01 pp. 26–27,Mannum and Munawwirum divide property deriving from Nuska-amaḫ; inheritance and preferential share language.,Do not silently accept old CDLI date signs; replacement of predeceased Awīlīja is a prosopographic reconstruction.,S05; S16; S01,https://cdli.earth/artifacts/270657,2026-09-19
D07,E06,A,"OECT 8, 16 = MC 3, 30",P283643,Ashm 1926-0384,Samsu-iluna 10/03/23,Exchange,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur attribution; precise excavated house/locus not established in the consulted record,obv. property and reciprocal shares; rev. confirmation/date; seals,Mannum exchanges 12 gin of inherited/preferential built property for annual gate-prebend fractions from Munawwirum.,A displayed seal patronym differs from the reconstructed genealogy; no income or actual attendance recorded.,S13; S05; S01,https://cdli.earth/artifacts/283643,2026-09-19
D08,E07,A,"OECT 8, 11 = MC 3, 31",P283642,Ashm 1926-0380,Samsu-iluna 10/09/03,Expense settlement and transfer of institutional right,Mixed: Akkadian expense statement with Sumerian legal clauses,TEXT — digital transliteration,Nippur attribution; precise excavated house/locus not established in the consulted record,obv. expense tablet and transferrers; rev. transfer/waiver/date,An account of Mannum’s expenses for Ibbī-Enlil is examined; heirs transfer one month per year of an institutional entitlement.,"Evidence of recognized past expenditure, not all payments or an adoption by the beneficiary; body/seal name discrepancy flagged.",S13; S05; S01,https://cdli.earth/artifacts/283642,2026-09-19
D09,E08,A,"OECT 8, 21 = MC 3, 32",P283649,Ashm 1926-0386,"Samsu-iluna 11, month not secure, day 22",Adoption; heirship; reciprocal conditions,Sumerian in the displayed edition; catalogue language may be blank or inconsistent,TEXT — digital transliteration,Nippur attribution; precise excavated house/locus not established in the consulted record,obv. parties/property; rev. repudiation clauses/date,"Ilī-ippalsam and Elmēšum adopt Ninurta-muballiṭ, son of Awīlīja; contribution and rights specified.",Likely identification with D05’s heir does not establish that two adoptions operated concurrently.,S13; S05; S01,https://cdli.earth/artifacts/283649,2026-09-19
D10,E09,A,"BE 6/2, 38 = MC 3, 40",P266082,CBS 10889,Samsu-iluna 12/04/06,Purchase,Not independently checked,CATALOGUE — substance indirect through S01,Nippur attribution; precise excavated house/locus not established in the consulted record,catalogue; S01 discussion,Reported purchase by Mannum of 1 1/3 sar built property from heirs of Ea-iddinam.,"No digital text independently read; proposed link to D11 is plausible, not fully verified.",S14; S05; S01,https://cdli.earth/artifacts/266082,2026-09-19
