local_claim_id,claim,period_date,nippur_context,evidence_type,primary_evidence,secondary_interpretation,counterevidence_disagreement,confidence,generalization_limit,project_relevance,design_status
B-C01,BE 6/2 40 records Ama-sukkal bringing nineteen shekels into her marriage.,Samsu-iluna 13; c. 1737 BCE,Nippur; Ama-sukkal/Enlil-issu dossier,Primary,"D01; S01 p. 35, clauses A–B; S03 catalogue",Poebel’s opening translation changes the apparent grammatical agent.,Grammatical agency does not establish who chose the partner or where either lived.,HIGH,"This documented contribution, not every Nippur marriage.",A woman’s transactional role is visible without a household census.,NO DESIGN DECISION
B-C02,"The same contract stipulates repudiation consequences for either spouse, but treats her original silver differently.",Samsu-iluna 13; c. 1737 BCE,Same D01 dossier,Primary,"D01; S01 p. 35, clauses C.a–b: return versus forfeiture, plus a half-mina payment",S05 discusses the dossier’s marital interpretation.,Parallel clauses are not equal economic consequences or proof that divorce occurred.,HIGH,Conditional terms in one contract; no divorce frequency inferred.,Relationship dissolution and property consequences must be distinguished.,NO DESIGN DECISION
B-C03,BE 6/2 48 stipulates a monetary penalty for the husband but a sale sanction for the wife’s repudiation.,Old Babylonian; exact date unverified,Nippur-attributed D04,Primary,"D04; S01 pp. 36–37, clause C.1; P283604 concordance in S11",S10 places parental/marital sanctions in legal context.,The additional bodily-marking/shaving clause is philologically unsettled here; no execution of the sanction demonstrated.,MODERATE,No universal female divorce penalty; D01 already supplies different terms.,Gender differentiation varies by documented arrangement.,NO DESIGN DECISION
B-C04,BE 6/2 48 creates a mother–sons relationship between Naramtum and Awiliya’s three sons alongside marriage.,Old Babylonian; exact date unverified,Nippur-attributed D04,Primary,"D04; S01 pp. 35–37, clauses A.2 and C.2; S11 identifies MC 3 16",S10 n. 18 corroborates the relevant Nippur text.,"Mother/son terminology here is not proof of birth, minority, residence or the previous wife’s death.",HIGH,"One explicitly constituted relationship, not a general adoption system.",Kinship labels can arise through a legal act rather than descent alone.,NO DESIGN DECISION
B-C05,"In that arrangement, recognition and maintenance of Naramtum are linked to rights in Awiliya’s estate.",Old Babylonian; exact date unverified,D04 marital/parental agreement,Primary,"D04; S01 pp. 36–37, clauses C.2–D; provisions for grain, oil and wool",S10 distinguishes sanctions within constituted parenthood.,Written future duties do not establish performance or an exclusive provider relationship.,HIGH,The specified agreement; no assumption about elderly age.,Support can connect people without demonstrating shared residence.,NO DESIGN DECISION
B-C06,SAOC 44 34 documents a witnessed marital arrangement; its precise betrothal stage remains interpretive.,Samsu-iluna 11/6/23; c. 1739 BCE,TA 174 XI-2; House N assemblage,Mixed,"D13; S02 pp. 64, 217; opening discussed in S05 n. 34",Father’s assent and betrothal interpretation in Stone/Greengus.,Stone qualifies the interpretation; father identification is queried in the index.,MODERATE,"No universal ceremony, required age, consummation sequence or residential transfer.",Formation may involve kin and witnesses beyond the couple.,NO DESIGN DECISION
B-C07,The category of the additional payment in BE 6/2 47 is disputed.,Old Babylonian; exact date not independently checked,Proposed Ama-sukkal dossier,Secondary,"D02; ancient text reached here through S05/S06, not a new edition reading",S06 p. 144 §14 restores terḫatum; S05 interprets an augmented dowry.,"Reading, restoration and linkage of separate texts matter to the payment label.",MODERATE,"Confidence concerns the documented scholarly disagreement, not which reading wins.",Transfers cannot all be assigned one marriage-payment category.,NO DESIGN DECISION
B-C08,Scholars disagree about the marital stage dissolved in the BE 6/2 40/47/58 dossier.,"Old Babylonian; BE 40 dated, BE 58 undated here",Nippur-attributed linked dossier,Secondary,D01–D03; S05 manuscript pp. 13–14; S07 pp. 632–634,Greengus argues against an inchoate-marriage reconstruction associated with Westbrook.,Westbrook’s book was not independently consulted; dossier chronology is not fully audited.,MODERATE,Neither interpretation establishes a citywide marriage sequence.,Distinguish evidence of dissolution from assumptions about an earlier stage.,NO DESIGN DECISION
B-C09,"PBS 8/2 116 obliges four brothers/heirs to maintain their sister Bēltani, with inheritance consequences for default.",Rīm-Sîn 50/2; c. 1773 BCE,Nippur; CBS 07112; no locus supplied,Primary,"D05; S13 tablet obv. 1–12, case parallel; rev. 1–5 concerns alienation",S04 p. 59; exact field owner/reference remains disputed.,Future support and field restrictions are not evidence of payments made or co-residence.,HIGH,Named parties and stated obligations only.,Sibling duties can persist alongside property and institutional ties.,NO DESIGN DECISION
B-C10,"Unnubtum, identified as a nadītu of Ninurta, appears among witnesses in the same instrument.",Rīm-Sîn 50/2; c. 1773 BCE,"D05, Nippur",Primary,S13 tablet rev. 13; case rev. 11; witness identified as daughter of Ur-baba on case,S07 separately discusses women witnesses in BE 6/2 58.,Witnessing does not establish residence with the principals or equal legal capacity in all matters.,HIGH,"Presence in this record, not a witness participation rate.","Women appear in distinct documentary roles, not only as wives or beneficiaries.",NO DESIGN DECISION
