Local claim ID,Claim,Period/date,Nippur context,Evidence type,Primary evidence,Secondary interpretation,Counterevidence/disagreement,Confidence,Generalization limit,Project relevance,Design status
D-C01,Named family participants can hold different claims in resources; a household label does not specify those rights.,Old Babylonian; especially Samsu-iluna 4 and 13,Private property agreements; precise houses not verified,Primary,"BE 6/2, 11, 12, 23, 43; S01",Analytical distinction based on the separate operative provisions.,Not every named seller or beneficiary holds the same kind or fraction of title.,HIGH,"Attested arrangements, not a universal household property constitution.","Separates title, transfer, use, access, and benefit.",NO DESIGN DECISION
D-C02,"Women participate in house conveyances, but co-conveyance alone does not establish equal co-ownership.",Old Babylonian,Named wives/mothers in legal texts,Mixed,"BE 6/2, 11 and 12; S01",S04 examines co-sale clauses and competing explanations of women’s involvement.,"Consent, retained interests, and ownership cannot be equated without the individual clauses.",HIGH,Legal participation is well attested; exact shares in these cases remain unresolved.,Prevents erasing women or assigning them unproven uniform rights.,NO DESIGN DECISION
D-C03,A documented house partition was followed rapidly by three share purchases by one coheir.,Samsu-iluna 11/07/17–11/09/05,Linked house-property deeds,Mixed,"BE 6/2, 32–35; dates, dimensions, and neighbors; S01","S04, p. 22 n. 45, identifies two brothers and a nephew as the sellers.",Poebel’s four-brothers shorthand is wrong; legal partition does not prove walls or separate residences.,HIGH,One securely linked sequence; no citywide consolidation rate or forced-sale motive.,Shows fragmentation and consolidation as historically successive transactions.,NO DESIGN DECISION
D-C04,The consulted agreements vary between equal listed shares and a reserved eldest share before residual division.,Samsu-iluna 14 and 18,Two inheritance-related agreements,Primary,"BE 6/2, 44 versus 48; S01",No universal rule inferred from this contrast.,"Different instruments may cover different assets, prior gifts, or stages of inheritance.",HIGH,No fixed citywide eldest-share multiplier or uniform equal division.,Keeps inheritance arrangements contextual.,NO DESIGN DECISION
D-C05,"Division could distribute heterogeneous assets, including land, movable goods, resource entitlements, and enslaved persons, with balancing transfers.",Samsu-iluna 4 and 6,Private inheritance documents,Primary,"BE 6/2, 23 and 26; S01",Portfolio description follows the texts; no standardized valuation model added.,Listed assets need not exhaust a household’s resources; some old furniture readings remain uncertain.,HIGH,"Documented estates, not representative wealth or enslaved-person prices.",Distinguishes resource types and persons treated as property in the records.,NO DESIGN DECISION
D-C06,Specified annual portions of temple-office entitlements could enter exchanges and inheritance divisions.,Samsu-iluna 12 and 13,Kusu/Enlil-linked office/property transactions,Primary,"BE 6/2, 39 and 43; S01","S11 is a further specialist lead, abstract only; not the basis of detailed claims.",Transfer of an office portion is not ownership of the temple; actual performance and income are not observed.,HIGH,"Particular transferable entitlements, not all temple offices or unrestricted marketability.",Separates income/service entitlement from buildings and land.,NO DESIGN DECISION
D-C07,A partition could retain a common exit and leave other assets for later division.,Samsu-iluna 13/12,"BE 6/2, 43; no verified excavation house",Primary,"BE 6/2, 43; S01, pp. 22–23, 25","Legal/access reading, not an architectural reconstruction.",Shared access does not itself demonstrate co-residence; text does not say permanent indivisibility.,MODERATE,One partially divided estate.,Shows continuing connections after a division.,NO DESIGN DECISION
D-C08,A marriage agreement separately identifies the wife’s silver contribution and conditional return/forfeiture obligations.,Samsu-iluna 13/01/28,Ama-sukkal and Enlil-idzu agreement,Primary,"BE 6/2, 40; S01, p. 35","Terms read from the edition, with numerical clauses visually checked.",Not evidence that repudiation occurred; no comprehensive rule for all marriage property.,HIGH,One explicit agreement; daily control and actual enforcement unknown.,"Distinguishes contribution, conditional claim, and available household cash.",NO DESIGN DECISION
D-C09,Family maintenance obligations could be explicitly attached to continuing inheritance entitlement.,Rīm-Sîn 50; Samsu-iluna 18,Sister’s support and marriage/adoption arrangements,Primary,"PBS 8/2, 116 / P262151; BE 6/2, 48; S02, S01","Convergence concerns stipulated obligations, not demonstrated enforcement.",Forfeiture language is conditional; absence of receipts does not prove nonpayment.,HIGH,"Two related types of agreement, not an obligation imposed on every relative.",Connects resource succession with ongoing support claims.,NO DESIGN DECISION
D-C10,One support agreement restricts heirs’ alienation of fields during the beneficiary’s lifetime.,Rīm-Sîn 50/02,"Bēltani, nadītu of Ninurta, and four brothers",Primary,"PBS 8/2, 116, tablet rev. 1–5 and envelope parallel; S02",Interpreted narrowly as an express restriction within this arrangement.,No actual prohibited sale or forfeiture is documented; not proof of a universal family redemption right.,HIGH,This agreement only.,Shows that inheritance and unrestricted disposal are not identical.,NO DESIGN DECISION
D-C11,The selected loan texts distinguish stated interest-bearing obligations from a text marked not bearing interest.,Hammurabi 38b (old attribution); Samsu-iluna 10,Nippur private loan documents,Primary,"BE 6/2, 15; PBS 8/2, 130 / P262191; S01, S03",No additional-interest wording is not assumed to prove zero total borrowing cost.,Principal may incorporate earlier charges; the interest-bearing text gives no rate.,HIGH,"Terms of particular contracts, not citywide rates or prevalence.",Prevents applying one standard interest rule to all obligations.,NO DESIGN DECISION
D-C12,An obligation could link different commodities or media at advance and settlement.,Samsu-iluna 4 and 10; Hammurabi 39 (qualified provenance),"Nippur; BE 6/2, 16 is Nippur(?)",Primary,"PBS 8/2, 130: silver advance, barley return; BE 6/2, 16: grain with silver interest; no. 21: bricks; S01, S03","Separate principal, interest, and return medium rather than one assumed cash balance.","Conversion rates, economic purpose, and discharge are not stated; no. 16 has uncertain provenance.",HIGH,Strong silver-to-barley case; grain/silver example remains qualified.,Distinguishes amounts owed from identical-resource replacement.,NO DESIGN DECISION
D-C13,Named joint recipients can be bound together; this does not document liability of all household members.,Hammurabi 38b–39 in Poebel,Private loans; one uncertain Nippur attribution,Primary,"BE 6/2, 15 and 16; S01",No automatic corporate-household debtor inferred.,"No. 16 concerns a parent and son, not necessarily a mother and son; other kin and collateral are unrecorded.",MODERATE,Joint wording does not establish the mechanics of joint-and-several liability.,Makes exposure personal and document-specific.,NO DESIGN DECISION
D-C14,Cultivation and an annually assessed yield-share claim could be allocated through a lease rather than a permanent land sale.,Samsu-iluna 11/03,Field described as that of Ninunu; Nippur contract,Primary,"BE 6/2, 29; S01, pp. 43–44","Distinguishes lessor’s claim, lessee’s cultivation, and future crop share.","Actual harvest, occupancy, rent payment, and precise duration of the lease unknown.",HIGH,One lease; not the prevalence of share tenancy.,Separates land title/control from temporary use and revenue.,NO DESIGN DECISION
D-C15,Future repayment clauses and an acknowledgment of money received are different kinds of evidence.,Old Babylonian; Samsu-iluna 10 loan,Legal text genres in the selected corpus,Primary,"BE 6/2, 65 versus PBS 8/2, 130 and BE 6/2, 15; S01, S03",Analytical distinction between undertaking and recorded receipt.,"The receipt concerns a house price, not a discharged loan; even a receipt is a legal representation.",HIGH,No repayment/default rate derived.,Prevents treating promised future behavior as an observed event.,NO DESIGN DECISION
D-C16,A legal record narrates adjudication and an executed property settlement concerning earlier family transactions.,Hammurabi reign,Nippur council; heirs of Iškur-rabi and Ududu,Primary,"BE 6/2, 10, especially final conveyance and non-claim clause; S01","Read as recorded legal action, not independent observation of physical possession.",Not securely a debt foreclosure; early translation of built/unbuilt property needs checking.,MODERATE,"One litigation record, not an enforcement frequency or automatic inherited liability rule.",Supplies evidence beyond merely hypothetical sanctions.,NO DESIGN DECISION
D-C17,Transfer of title documents could be accompanied by a future-claim undertaking.,Samsu-iluna 13/12,Office-related title documents; precise findspot not verified,Primary,"BE 6/2, 42; S01, pp. 45–46",Poebel infers institutional involvement from witnesses; that inference is not adopted as fact.,The text does not directly establish a temple sale or a third-party loan guarantee.,MODERATE,Single document; scope of the undertaking needs modern re-edition.,"Separates document custody, title claims, and responsibility for challenges.",NO DESIGN DECISION
D-C18,A paternal house plot could be repurchased from the subsequent holder’s family.,Samsu-iluna 29/02/20,Ninurta-rāʾim-zērim and Mannum-mēšu-liṣṣur’s family,Mixed,"BE 6/2, 64; S01",S04 questions certainty of matching the parcel to no. 38; S05 clarifies later family/custody.,"Repurchase does not by itself prove mortgage, distress, or an enforceable right to force resale.",MODERATE,"Particular transaction, with an uncertain earlier deed match.",Shows family continuity through transfer without assuming inalienability.,NO DESIGN DECISION
D-C19,A later dispute/waiver records an earlier house gift to a daughter and associated inheritance adjustments.,Gift earlier than surviving Hammurabi 31/05 record,Nanna-meša–Nin-kuzu family dossier,Secondary,"OECT 8, 4, not directly read","S05, discussion pp. 9–13; primary edition S13 unavailable.",Retrospective record is not the gift instrument; full wording and compensation chain unverified.,MODERATE,"Scholarly mediated case, not a general gift or daughter-inheritance rule.",Identifies a gift pathway beyond sale and partition.,NO DESIGN DECISION
D-C20,Subsistence provision could be followed by a litigated compensation claim affecting the recipient’s heirs.,Samsu-iluna 10/09/03,Mannum-mēšu-liṣṣur dossier,Secondary,"OECT 8, 11 = MC 3, 31, original not directly read",S05 reports prebend compensation for grain/food supplied to Ibbi-Enlil.,"Contractual basis, exact scope, and any adoptive relation must not be assumed; not a general inherited-debt rule.",MODERATE,Mediated single case awaiting primary recheck.,Adds a bounded example of intergenerational economic exposure.,NO DESIGN DECISION
D-C21,"Reported excavated loans name a deity or a temple-linked source of silver, but the available contexts do not prove residence or a temple banking system.",Enlil-bāni Q; Sîn-iddinam 7; Rīm-Sîn 8,Reported TA fill and disturbed TB contexts,Secondary,"SAOC 44, 2, 3, 67, originals not read",S08 selected indexed excerpt only; S07 full book inaccessible.,"Fund ownership, lender’s role, rate period, and locus association need direct verification.",LOW,"Provisional retrieval leads, not a basis for institutional prevalence or standardized interest rates.",Preserves institution/private connections without conflating them.,NO DESIGN DECISION
