record_id,publication_designation,museum_or_cdli_id,regnal_date,approximate_bce,provenance_context,genre,language_status,access_mode,source_pinpoint,uncertainty_note,scope
D01,BE 6/2 40; case OIMA 1 24,CBS 7018; case UM 29-13-40,Samsu-iluna 13/1; day 26 or 28 unresolved,c. 1737 BCE,Nippur attribution; precise excavated locus not established here,Marriage contract,Sumerian in consulted transliteration,Printed transliteration and translation read; catalogue cross-check,S01 pp. 35–38; S03 p. 3; S05,"One act, tablet and case; not two marriages.",NIPPUR_MAIN
D02,BE 6/2 47,CBS 9047,Not independently established,Not assigned,Nippur marriage dossier attribution; older catalogue provenience requires checking,Marriage-related payment,Not independently checked,Secondary textual discussion plus catalogue identifiers,S05 ms. pp. 13–14; S06 p. 144 §14; S01 catalogue,Proposed relation to D01/D03; payment interpretation disputed; no secure locus.,NIPPUR_MAIN
D03,BE 6/2 58,CBS 11561,Undated in consulted record,Not assigned,Nippur marriage dossier attribution; no secure locus,Marital dissolution/settlement interpretation disputed,Not independently checked,Secondary discussions and catalogue metadata,S05 ms. pp. 13–14; S07 pp. 632–634; S01 catalogue,Do not turn scholarly reconstruction of a ten-year relationship into an independently checked date.,NIPPUR_MAIN
D04,BE 6/2 48; MC 3 16,P283604; Istanbul collection; museum inventory number not verified,Old Babylonian; exact regnal date not verified,Not assigned,Nippur attribution confirmed by CDLI concordance,"Marriage, constituted parenthood, maintenance and estate provisions",Sumerian in consulted transliteration,Printed transliteration and translation read; concordance checked,S01 pp. 35–38; S10 p. 95 n. 18; S11 concordance,Modern MC 3 text itself not read. Sons’ ages and prior wife’s fate unknown.,NIPPUR_MAIN
D05,PBS 8/2 116,CBS 07112; P262151,Rīm-Sîn 50/2/-,c. 1773 BCE,Nippur; CDLI findspot/locus blank,Sibling maintenance contract,Sumerian displayed; catalogue language field blank,Complete displayed digital tablet/envelope/seal edition read,"S13 tablet obv. 1–13, rev. 1–16; case and seals; S04 p. 59","Four brothers/heirs and sister Bēltani; support provision, not evidence of actual annual delivery.",NIPPUR_MAIN
D06,ARN 29,Not recovered,Old Babylonian; date not independently checked,Not assigned,Nippur Bēltani/nadītu dossier as reconstructed by Stone,Property and support settlement,Not independently checked,Secondary case discussion only,S04 pp. 57–59; S15,Reported aunt/father/brother property routes; no independent edition audit or date verification.,NIPPUR_MAIN
D07,ARN 101,Not recovered,Old Babylonian; date not independently checked,Not assigned,Nippur Lamasum maintenance dispute in Stone,Maintenance litigation,Not independently checked,Secondary case discussion only,S04 pp. 60–61; S15,Brother appears in dispute about arrears; precise procedural capacity not newly translated.,NIPPUR_MAIN
D08,ARN 120,Not recovered,Old Babylonian; date not independently checked,Not assigned,Nippur Naramtum land dispute in Stone,Property litigation,Not independently checked,Secondary caution only,S04; S15,Nadītu identification is inferred; not an explicit institutional label in the cited account.,NIPPUR_CAUTION
D09,PBS 8/2 8,Not recovered,Old Babylonian; exact date not checked,Not assigned,Nippur institutional discussion in Stone,Seal/relationship evidence,Not independently checked,Secondary caution only,S04 p. 56; S17,Nin-kuzu identity and birth/adoptive relationship alternatives unresolved.,NIPPUR_CAUTION
D10,SAOC 44 1; MC 3 14,3N-T 852; IM 58763; P224324,Rīm-Sîn 30/7/-,c. 1793 BCE,TA 180 XI foundation,Marriage accompanied by adoption of wife’s three children,Not independently checked,Direct catalogue; CDLI concordance; widow interpretation through Stol,S02 Appendix IV p. 215; S11 concordance; S06 p. 145 n. 67,"Damiq-ilišu and SAL-kalla; both parties’ seals. Widowed status is mediated, not directly retranslated.",NIPPUR_MAIN
D11,SAOC 44 25,3N-T 865; IM 58775,Samsu-iluna 7/3/-,c. 1743 BCE,TA 174 XI-2; House N assemblage,Grain contributions for house acquisition,Not independently checked,"Catalogue, narrative and personal-name index read","S02 pp. 63, 217 and index s.v. Asirum",Asirum expressly reported resident; kin relation not established; narrative/catalogue contributor counts differ.,NIPPUR_MAIN
D12,SAOC 44 31,3N-T 867; IM 58777,Samsu-iluna 10/10/12,c. 1740 BCE,TA 174 XI-2; House N assemblage; house property in Iahalpilum,Inheritance of house and other property,Not independently checked,Direct catalogue and contextual discussion,"S02 pp. 63, 217",Nar-Ištar and Enlil-nišu inherit from Nabi-Enlil; distant property does not establish migration.,NIPPUR_MAIN
D13,SAOC 44 34,3N-T 871; IM 58781,Samsu-iluna 11/6/23,c. 1739 BCE,TA 174 XI-2; House N assemblage,Marriage/betrothal; precise stage debated,Sumerian opening cited in S05; full text not independently read,Catalogue and attributed discussion; quoted opening checked in scholarship,S02 p. 64 and Appendix IV p. 217; S05 n. 34,Ištar-lamassi and Sîn-abušu; father/assent interpretation requires qualification; oil and witnesses do not establish a universal ceremony.,NIPPUR_MAIN
D14,BE 6/2 42,CBS 6055,Samsu-iluna 13/12,c. 1737 BCE,Nippur dossier linked in scholarship to Nannatum,Document/property/office arrangement; accounts not reconciled,Not independently checked,Catalogue and secondary descriptions only,S01 catalogue; S02 p. 64; S05 n. 34,Different discussions emphasize offices versus recovery of deposited documents; excluded from core findings.,NIPPUR_CAUTION
D15,SAOC 44 40,3N-T 225; IM 58388,Undated,Not assigned,TA 174 XI-1,Court case about support of a boy(?),Not independently checked,Direct catalogue and personal-name index,S02 Appendix IV p. 218 and index s.v. Ipquga(?),"Name and boy identification uncertain; NOT BE 6/2 40; guardianship, orphanhood and age not established.",NIPPUR_MAIN
D16,SAOC 44 44,3N-T 93; A30141,Samsu-iluna 16/-/2,c. 1734 BCE,TA 178 XA-1; Houses I/H reconstruction,House-plot purchase,Not independently checked,Direct catalogue and narrative reconstruction,"S02 pp. 65–68, 218",Enlil-nišu and Etel-pî-Ištar jointly purchase; brother relationship taken from contextual reconstruction.,NIPPUR_MAIN
D17,SAOC 44 46,3N-T 85; A30138,Samsu-iluna 17/3/-,c. 1733 BCE,TA 185 XA-1; Houses I/H reconstruction,House-plot purchase,Not independently checked,Direct catalogue and narrative reconstruction,"S02 pp. 65–68, 218",Same co-purchasers in Stone’s reconstruction; no complete occupant list.,NIPPUR_MAIN
D18,SAOC 44 47,3N-T 86; A30139,Samsu-iluna 18/5/25,c. 1732 BCE,TA 185 XA-1; Houses I/H reconstruction,Buyout of jointly owned house-plot share,Not independently checked,Direct catalogue and narrative reconstruction,"S02 pp. 65–68, 218",Catalogue: Enlil-nišu buys Etel-pî-Ištar’s share. Do not automatically identify this with each brother’s later reconstructed dwelling.,NIPPUR_MAIN
D19,SAOC 44 50,3N-T 84; A30137,Samsu-iluna 8/5/6,c. 1742 BCE,TA 185 XA-1,One-year house rental,Not independently checked,Direct catalogue,S02 Appendix IV p. 218,Rīm-Adad rents to Ili-eribam; legal access does not itself prove occupancy or household composition.,NIPPUR_MAIN
D20,SAOC 44 53,3N-T 845; IM 58756,Rīm-Sîn 51/8/-,c. 1772 BCE,TA 179 XA-1,Manumission,Not independently checked,Direct catalogue,S02 Appendix IV p. 218,Ur-dukuga releases an enslaved person; residential consequences not described in the abstract.,NIPPUR_MAIN
D21,"ARN 118, 113, 112, 41; BE 6/2 23; OIMA 1 20 (dossier pointer, not one tablet)",Individual inventories not audited here,Author’s archive span approximately 1784–1739 BCE,c. 1784–1739 BCE,Ur-Pabilsaĝa-related Nippur archive; reconstructed family networks,"Mixed property, inheritance and relationship records",Not independently checked as a dossier,"Selected modern reinterpretation, not full primary rereading","S14 pp. 1–4, fig. 1; S18 identified as follow-up","This is one dossier-level research pointer, not a count of separately examined tablets; chronology alternatives not resolved.",NIPPUR_MAIN
D22,OIMA 1 13 and associated material,UM 29-16-20 + N968; CBS 7134 = PBS 8/2 154; Ni 9244 relationship qualified,Samsu-iluna 5/4,c. 1745 BCE,Museum collection; Nippur attribution,Catalogue/concordance check,Not independently checked,Catalogue only,S03 p. 3 and notes,One proposed case/duplicate relationship not securely resolved; excluded from historical claim count.,NIPPUR_CAUTION
D23,Cotsen 52175 = Education 78,Cotsen 52175,Old Babylonian; Rīm-Sîn oath context,Exact year not assigned,Unknown market provenience; Larsa or its realm suggested,"Two model contracts, including adoption exercise",Sumerian model contracts as edited,Direct scholarly edition and discussion,S08 §§1–2,DIDACTIC; not securely Nippur; not a recorded foundling adoption.,COMPARATIVE_ONLY
