Source ID,Short citation,Full citation,Source type,Scope/provenance,Stable ID/DOI/URL,Consulted directly?,Notes
S01,"Poebel 1909, BE 6/2","Arno Poebel. 1909. Babylonian Legal and Business Documents from the Time of the First Dynasty of Babylon, Chiefly from Nippur. The Babylonian Expedition of the University of Pennsylvania, Series A: Cuneiform Texts, vol. 6, part 2. Philadelphia: Department of Archaeology, University of Pennsylvania.",Primary-text edition and early interpretation,Mixed-provenance volume; only individually checked Nippur texts used as core evidence.,https://etana.org/sites/default/files/coretexts/14861.pdf,"YES: selected transliterations, translations, introduction, discussion, and catalogue; selected page images visually checked. No independent tablet collation.","Title page gives 1909, despite inconsistent repository metadata. References use printed pages. PDF page index = printed page + 13 in the main text. Catalogue pp. 147–151 checked as page images. Nippur(?) qualification retained for no. 16. No. 8 is Yokha, not Nippur. Some personal names and technical translations are early readings. No complete-volume corpus census performed."
S02,"CDLI P262151 / PBS 8/2, 116","Edward Chiera. 1922. Old Babylonian Contracts. Publications of the Babylonian Section 8/2. Philadelphia: University Museum, no. 116. Digital edition: Cuneiform Digital Library Initiative, artifact P262151, CBS 07112, including tablet and envelope transliteration and English translation; accessed 19 September 2026.",Primary digital edition and object catalogue,"Nippur; Rīm-Sîn 50, month 2; maintenance agreement.",https://cdli.earth/artifacts/262151,"YES: full displayed transliteration, translation, and metadata; not an independent reading of the clay.","Tablet and envelope represent one agreement, not two transactions. CDLI gives Nippur but no house, locus, or stratigraphic level. The language metadata field is blank; the displayed text is Sumerian. The date formula is year 21 after the capture of Isin, normalized by CDLI to Rīm-Sîn 50."
S03,"CDLI P262191 / PBS 8/2, 130","Edward Chiera. 1922. Old Babylonian Contracts. Publications of the Babylonian Section 8/2. Philadelphia: University Museum, no. 130. Digital edition: Cuneiform Digital Library Initiative, artifact P262191, CBS 07157, Sumerian transliteration, English translation, and catalogue metadata; accessed 19 September 2026.",Primary digital edition and object catalogue,Nippur; Samsu-iluna 10/05/20(?); silver loan repayable in barley.,https://cdli.earth/artifacts/262191,YES: full displayed text and metadata; not independent tablet collation.,"Day 20 is marked uncertain in the transliteration. Interest-bearing is explicit; no numerical rate, exchange rate, security, occupation, or repayment outcome is given in the displayed text. House/locus/level fields are blank."
S04,Meinhold 2014,Wiebke Meinhold. 2014. “Erbrecht nach altbabylonischen Kauf- und Tauschurkunden aus Nippur.” Zeitschrift für Altorientalische und Biblische Rechtsgeschichte 20: 11–32.,Specialist original research,"Old Babylonian Nippur sale, exchange, and inheritance documents.",https://www.academia.edu/40907963/Erbrecht_nach_altbabylonischen_Kauf_und_Tauschurkunden_aus_Nippur,"YES: substantial selected article text, especially pp. 11–28, via author-uploaded HTML transcription. Not a new collation of its underlying tablets.","Used for corrected relationships in BE 6/2, 32–35, limits of ownership clauses and co-sale, and the contested linkage of BE 6/2, 38 with 64. The study’s publication-era counts are not a current corpus census or population sample. No tables transcribed as new primary observations."
S05,Meinhold 2015,Wiebke Meinhold. 2015. “Das Vermögen der Familie des Mannum-mēšu-liṣṣur.” Zeitschrift für Assyriologie und Vorderasiatische Archäologie 105(1): 7–29. DOI: 10.1515/za-2015-0003.,Specialist original research,"Reconstructed Mannum-mēšu-liṣṣur family/property history, Old Babylonian Nippur.",https://doi.org/10.1515/za-2015-0003 ; author text: https://www.academia.edu/40907916/Das_Vermögen_der_Familie_des_Mannum_mēšu_liṣṣur,YES: substantial selected prose and notes via author-uploaded HTML; original edition plates and article tables not independently collated.,"Used for documentary custody versus family association, revised prosopography, date and family identification in BE 6/2, 64, and two explicitly mediated cases (OECT 8, 4 and 11). Hunter 1930 and Stone/Owen 1991 originals not independently read. Quantitative portfolio tables not reproduced."
S06,Stone 1976,"Elizabeth C. Stone, catalogue; photographs by Paul E. Zimansky. 1976. Old Babylonian Contracts from Nippur: Selected Texts from the University Museum, University of Pennsylvania. Oriental Institute, Miscellaneous Publications 1. Chicago: University of Chicago. DOI: 10.83354/dqrs-h420.",Primary collection catalogue,Selected Penn Museum Old Babylonian Nippur contracts.,https://isac.uchicago.edu/publications/old-babylonian-contracts-nippur-selected-texts-university-museum-university ; https://doi.org/10.83354/dqrs-h420,YES: publisher metadata and PDF introduction/catalogue. Microfiche photographs not collated.,"Useful for collection history and publication concordance, not treated as 70 translated or independently examined transactions. Main primary readings in this return come from S01–S03."
S07,"Stone 1987, SAOC 44",Elizabeth C. Stone. 1987. Nippur Neighborhoods. Studies in Ancient Oriental Civilization 44. Chicago: Oriental Institute. DOI: 10.83354/czh7-zk49.,Excavation-based monograph; access lead,Nippur TA/TB houses and texts.,https://isac.uchicago.edu/publications/nippur-neighborhoods ; https://doi.org/10.83354/czh7-zk49,NO full book: publisher and repository metadata only; publisher also reproduces a review.,"Multiple full-PDF retrieval attempts failed. Plans, locus records, and primary text editions were not inspected. TA/TB cases below are mediated by S08, not asserted as direct consultation of Stone. The publisher’s review text is not silently treated as Stone’s own demonstrated conclusion."
S08,Brisch 2017,"Nicole Brisch. 2017. “To Eat Like a God: Religion and Economy in Old Babylonian Nippur.” In Yağmur Heffron, Adam Stone, and Martin Worthington, eds., At the Dawn of History: Ancient Near Eastern Studies in Honour of J. N. Postgate. Winona Lake, IN: Eisenbrauns, pp. 43–53 (author listing; publisher range 43–54). DOI: 10.1515/9781575064741-006.","Specialist original research, partially accessible",Old Babylonian Nippur religious/economic transactions; SAOC 44 loan examples.,https://doi.org/10.1515/9781575064741-006 ; https://researchprofiles.ku.dk/en/publications/to-eat-like-a-god-religion-and-economy-in-old-babylonian-nippur/ ; indexed book text: https://dokumen.pub/at-the-dawn-of-history-ancient-near-eastern-studies-in-honour-of-j-n-postgate-9781575064741.html,PARTIAL ONLY: author metadata and selected search-indexed text around pp. 48–49. Full chapter retrieval failed.,"Cases SAOC 44, 2, 3, 67 are provisional leads. Their reported rates and findspots have not been rechecked against Stone’s editions or excavation records. Do not turn fill/disturbed contexts into resident archives. Do not annualize the quoted 20% without checking the original term."
S09,Spada and Hallo 2024,Gabriella Spada and William W. Hallo. 2024. “Sumerian Model Contracts from the Old Babylonian Period in the Arkeoloji Müzeleri of Istanbul.” Journal of Cuneiform Studies 76: 53–101. DOI: 10.1086/730481.,Edition of didactic texts; abstract consulted,Nippur school/model contracts in Istanbul.,https://doi.org/10.1086/730481 ; https://www.journals.uchicago.edu/doi/10.1086/730481,ABSTRACT / indexed description only; full article and text editions not consulted.,Editors describe 20 fragmentary multicolumn school tablets with silver/barley loans and antichretic pledge models. These are not entered in the actual-transaction inventory or counted as observed defaults.
S10,Spada 2018,Gabriella Spada. 2018. Sumerian Model Contracts from the Old Babylonian Period in the Hilprecht Collection Jena. Wiesbaden: Harrassowitz. ISBN 9783447110341.,Didactic-text edition; discovery lead,"Hilprecht Collection model contracts, including Old Babylonian Nippur materials.",https://www.harrassowitz-verlag.de/Sumerian_Model_Contracts_from_the_Old_Babylonian_Period_in_the_Hilprecht_Collection_Jena/titel_5585.ahtml ; https://iris.uniroma1.it/handle/11573/1127845,Publisher/repository description only; book not consulted.,"Used only to identify a further school-text corpus, not to supply actual loan events or a term-by-term legal reconstruction."
