source_id,short_citation,full_citation,source_type,scope_provenance,stable_id_doi_url,consulted_directly,notes
S01,"Poebel 1909, BE 6/2","Poebel, Arno. 1909. Babylonian Legal and Business Documents from the Time of the First Dynasty of Babylon, Chiefly from Nippur. The Babylonian Expedition of the University of Pennsylvania, Series A, 6/2. Philadelphia: Department of Archaeology, University of Pennsylvania.",Primary edition with commentary,Predominantly Nippur; Old Babylonian; document-specific provenance still requires checking.,https://archive.org/details/pt2babylonianexp06univuoft ; https://archive.org/stream/pt2babylonianexp06univuoft/pt2babylonianexp06univuoft_djvu.txt,YES—selected printed text through digitized full-text transcription,"Marriage section, printed pp. 35–38: BE 6/2 40 and 48, including transliterations and translations; relevant catalogue/index entries. No tablet collation. OCR contains errors; the section heading and internal text numbers must not be conflated. Public-domain edition, not a current critical translation."
S02,"Stone 1987, SAOC 44","Stone, Elizabeth C. 1987. Nippur Neighborhoods. Studies in Ancient Oriental Civilization 44. Chicago: Oriental Institute of the University of Chicago.","Excavation-related synthesis, text catalogue, editions and historical interpretation","Nippur residential areas, especially TA; older and later documents coexist in recovered assemblages.",DOI 10.83354/czh7-zk49 ; https://isac.uchicago.edu/publications/nippur-neighborhoods ; consulted text: https://www.academia.edu/4764276/Old_Babylonian_Contracts_from_Nippur_I,"YES—selected substantial sections, catalogue and indices","Especially pp. 15–19, 41–53, 63–68, Appendix IV pp. 215–218 and relevant personal-name index entries. Repository heading misleadingly names the 1976 contracts volume; the actual body is Nippur Neighborhoods. Architectural reconstructions are attributed to Stone; plans were not independently remapped or visually collated."
S03,"Stone and Zimansky 1976, OIMA 1","Stone, Elizabeth C., and Paul E. Zimansky. 1976. Old Babylonian Contracts from Nippur: Selected Texts from the University Museum, University of Pennsylvania. Part I. Oriental Institute Microfiche Archives 1. Chicago: Oriental Institute.",Primary text publication and catalogue,Nippur-attributed museum collection; Old Babylonian.,DOI 10.83354/dqrs-h420 ; https://isac-assets.s3.amazonaws.com/isac-publications/old_babylonian_contracts.pdf?VersionId=piUZ0T91wxz1u4XHOUryvedbJ3A1hAJ3,YES—selected catalogue and concordance pages,"Printed p. 3 visually checked as PDF page 12 (zero-based). OIMA 1 24 identifies the case of BE 6/2 40; the catalogue gives day 26, whereas the older OCR catalogue gives 28. Some OIMA 1 13 joins/duplicates remain uncertain. This is not a claim to have read every published tablet."
S04,"Stone 1982, nadītu study","Stone, Elizabeth C. 1982. “The Social Role of the Nadītu Women in Old Babylonian Nippur.” Journal of the Economic and Social History of the Orient 25(1): 50–70.",Original scholarly analysis of legal archives,"Nippur nadītu women; specific archival examples, not a demographic census.",JSTOR 3632034 ; https://www.academia.edu/4764420/Elizabeth_C_Stone_The_Social_Role_of_the_Nad%C4%ABtu_Women_of_Nippur_Journal_of_the_Economic_and_Social_History_of_the_Orient_XXV_1982_50_70,"YES—article text, especially pp. 56–61","Used for ARN 29, 101 and institutional cautions. Its interpretation of PBS 8/2 116 was checked against S13. Exact dates for the ARN cases were not independently recovered. Nadītu identification in some other cases is inferential, not explicit."
S05,Greengus 2002,"Greengus, Samuel. 2002. “Redefining ‘Inchoate Marriage’ in Old Babylonian Contexts.” In Tzvi Abusch, ed., Riches Hidden in Secret Places: Ancient Near Eastern Studies in Memory of Thorkild Jacobsen, 123–140. Winona Lake, IN: Eisenbrauns.",Original specialist interpretation,Several Old Babylonian cities; only explicitly Nippur cases enter the main evidence table.,DOI 10.1515/9781575065335-012 ; https://www.researchgate.net/publication/347640423_Redefining_Inchoate_Marriage_in_Old_Babylonian_Contexts,YES—author manuscript text; selected arguments and notes,"Manuscript pp. 13–14 and note 34 are manuscript, not printed-book pagination. Used for BE 6/2 40/47/58 and SAOC 44 34. Westbrook’s opposing reading is reported through this discussion, not represented as independently read."
S06,Stol 2012,"Stol, Marten. 2012. “Payment of the Old Babylonian Brideprice.” In Kathleen Abraham and Joseph Fleishman, eds., Looking at the Ancient Near East and the Bible through the Same Eyes: A Tribute to Aaron Skaist, 131–167. Bethesda, MD: CDL Press.",Original specialist synthesis and textual discussion,"Old Babylonian, multiple cities; individual Nippur passages isolated.",https://www.academia.edu/27974063/Stol_Payment_of_the_Old_Babylonian_Brideprice_in_Studies_Aaron_Skaist,"YES—selected passages, especially pp. 144–145, §14 and n. 67",BE 6/2 47 payment terminology; widow/remarriage identification for Stone and Owen 1991 Text 14. No claim that general statements elsewhere in the chapter are Nippur norms.
S07,Richardson 2012,"Richardson, Seth. 2012. “ ‘The Crowns of Their bābtum’: On Wives, Wards, and Witnesses.” Journal of the American Oriental Society 132(4): 623–639.",Original edition and interpretive study,New principal text from Sippar; separate discussion of Nippur BE 6/2 58.,DOI 10.7817/jameroriesoci.132.4.0623 ; https://www.academia.edu/4338809/_The_Crowns_of_Their_b%C4%81btum_On_Wives_Wards_and_Witnesses_2012_,YES—selected article sections,Especially pp. 632–634 on the Nippur text and its witnesses; BM 80989 used only in the comparative section. A ward/assembly is not automatically a household.
S08,Spada 2014,"Spada, Gabriella. 2014. “Two Old Babylonian Model Contracts.” Cuneiform Digital Library Journal 2014:2.",Primary edition of didactic texts with commentary,"Cotsen 52175, market acquisition with unknown findspot; Larsa-region attribution suggested by oath, not Nippur provenience.",https://cdli.earth/articles/cdlj/2014-2,"YES—article sections on genre, provenance and adoption exercise","Especially §§1, 2.1.1–3, 2.2.2.2 and 2.2.3. Cotsen 52175 = Education 78 is not an actual Nippur foundling adoption. Comparative/source-critical evidence only."
S09,Lion 2015,"Lion, Brigitte. 2015. “Mariages paléo-babyloniens typiques et atypiques.” Anabases 22: 11–26.",Specialist article,"Old Babylonian marriage texts, several contexts.",DOI 10.4000/anabases.5398 ; https://journals.openedition.org/anabases/5398,"PARTIAL—indexed abstract/snippets, not a reliable full-text reading",Official page access was obstructed; another text rendering was corrupted. Discovery/corroboration lead only. No consequential claim rests solely on this access.
S10,Fleishman 2001,"Fleishman, Joseph. 2001. “Legal Sanctions Imposed on Parents in Old Babylonian Legal Sources.” Journal of the American Oriental Society 121(1): 93–97.",Original legal-historical analysis,Mixed Old Babylonian legal and didactic sources; Nippur cases must be identified separately.,JSTOR 606733 ; https://faculty.uml.edu/ethan_spanier/teaching/documents/legalcodesandparents.pdf,YES—selected pages and notes; PDF pages visually checked,"Especially printed pp. 93–95, n. 18: BE 6/2 48 and SAOC 44 30; useful for separating adopted relationships from birth and sanctions from observed expulsion. Does not establish uniform Nippur law."
S11,"Stone and Owen 1991, MC 3","Stone, Elizabeth C., and David I. Owen, with a contribution by John R. Mitchell. 1991. Adoption in Old Babylonian Nippur and the Archive of Mannum-mešu-liṣṣur. Mesopotamian Civilizations 3. Winona Lake, IN: Eisenbrauns.",Primary editions and archive reconstruction; body not directly consulted,Old Babylonian Nippur and document-specific exceptions.,ISBN 9780931464539 ; https://www.eisenbrauns.org/books/titles/978-0-931464-53-9.html ; https://cdli.earth/publications/1667211,METADATA/CONCORDANCE YES; BOOK TEXT NO,CDLI concordance directly checked: Text 14 = SAOC 44 1 (P224324); Text 16 = BE 6/2 48 (P283604). Text 14 pp. 49–50 known through Stol 2012 n. 67; Text 16 pp. 51–52 through Fleishman n. 18. Do not describe these modern editions as directly read.
S12,Westbrook 1988,"Westbrook, Raymond. 1988. Old Babylonian Marriage Law. Archiv für Orientforschung, Beiheft 23. Horn: Ferdinand Berger & Söhne.","Specialist monograph, indirectly consulted",Old Babylonian comparative legal interpretation.,"AfO Beiheft 23; references via S05, S06 and S10",NO—arguments and page references mediated through consulted scholars,"Recorded as an essential competing interpretation, not silently omitted. References to pp. 43–45, 69 and 114–116 are secondary pointers, not independently verified page readings."
S13,CDLI P262151 / PBS 8/2 116,"Cuneiform Digital Library Initiative. “PBS 08/2, 116 (P262151).” CBS 07112, tablet and envelope. Edition credited to Carlo Guidi; revision history includes Bram Jagersma; approval by Bertrand Lafont in 2020. Metadata revised in 2023. Accessed 19 September 2026. Based on Chiera 1922.",Digital primary-text transliteration/translation and object metadata,"Nippur; Rīm-Sîn 50, month 2; no excavated locus supplied in the consulted record.",https://cdli.earth/artifacts/262151 ; P262151 ; CBS 07112,"YES—complete displayed tablet, envelope, seals, date and metadata","Principal direct check for sibling support. The language metadata field is blank; displayed legal text is Sumerian. Read text, not a new collation of the object photograph. Tablet and envelope are one legal act. No oath clause was identified in the displayed text."
S14,van Wyk 2018,"van Wyk, Susandra J. 2018. “Inheritance Feuds in the Ur-Pabilsaĝa Archive from Old Babylonian Nippur.” Journal for Semitics 27(2), article 3989, 27 pp.",Original archival reinterpretation,"Ur-Pabilsaĝa-related Nippur dossier, approximately 1784–1739 BCE in the author’s chronology.",DOI 10.25159/1013-8471/3989 ; https://unisapressjournals.co.za/index.php/JSEM/article/download/3989/3514/27186,"YES—selected introduction, family outline, figure and bibliography","Printed pp. 1–4; Figure 1 on p. 3 visually inspected; bibliographic leads on pp. 25–26. The whole alternative chronology was not independently audited. Family diagram is a modern reconstruction, not a tablet census."
S15,"Çığ, Kızılyay and Kraus 1952, ARN","Çığ, Muazzez, Hatice Kızılyay, and F. R. Kraus. 1952. Altbabylonische Rechtsurkunden aus Nippur. Istanbul.","Primary text edition, accessed indirectly",Nippur-centered legal collection; title is not a substitute for individual provenance checks.,ARN ; bibliographic record: https://ocb.uni-tuebingen.de/Record/KEI00120057/Versions?lng=en,NO—bibliography verified; individual texts mediated by S04/S14,ARN 29 and 101 are material leads. ARN 120 nadītu identification is not explicit in the account consulted. Do not claim the entire ARN edition was read.
S16,"Chiera 1914, PBS 8/1","Chiera, Edward. 1914. Legal and Administrative Documents from Nippur, Chiefly from the Dynasties of Isin and Larsa. Publications of the Babylonian Section 8/1. Philadelphia: University Museum.","Primary text edition, accessed indirectly",Nippur Isin–Larsa and related material.,PBS 8/1,NO—bibliographic and secondary references only,Relevant to broader archive reconstruction; not counted as directly examined primary text. No primary claim depends solely on an unverified PBS 8/1 passage.
S17,"Chiera 1922, PBS 8/2","Chiera, Edward. 1922. Old Babylonian Contracts. Publications of the Babylonian Section 8/2. Philadelphia: University Museum.",Primary text edition,"Old Babylonian legal material, document-specific provenience.",PBS 8/2 ; bibliographic record in S13,BOOK NO; TEXT 116 VIA DIGITAL EDITION S13,Author and year checked against CDLI. S17 and S13 are not independent ancient attestations. Other PBS 8/2 cases are used only as attributed leads through S04.
S18,"Goddeeris 2016, TMH 10","Goddeeris, Anne, with a contribution by Ursula Seidl. 2016. The Old Babylonian Legal and Administrative Texts in the Hilprecht Collection Jena. Part 1: Texts, Seal Impressions, Studies. Texte und Materialien der Frau Professor Hilprecht Collection of Babylonian Antiquities im Eigentum der Universität Jena 10. Wiesbaden: Harrassowitz.",Modern primary edition and archival study; follow-up lead,Nippur-related Jena collection; Ur-Pabilsaĝa discussion at pp. 356–366 according to S14.,TMH 10 ; bibliographic lead in S14,NO—identified through the consulted 2018 study,"High-value follow-up for updated joins, readings and chronology. The present report does not claim to incorporate its full corpus or revisions."
S19,Stol 2016,"Stol, Marten. 2016. Women in the Ancient Near East. Translated by Helen and Mervyn Richardson. Berlin/Boston: De Gruyter.",Specialist synthesis; access lead,Many places and periods; not inherently Nippur-specific.,DOI 10.1515/9781614512639,NO—access attempt did not yield a usable full text,Not substituted for the directly consulted 2012 chapter. No additional historical claim rests on this book.
S20,Klein and Sharlach 2007,"Klein, Jacob, and T. M. Sharlach. 2007. “A Collection of Model Court Cases from Old Babylonian Nippur (CBS 11324).” Zeitschrift für Assyriologie 97: 1–25.",Primary edition of didactic text; discovery lead,Old Babylonian Nippur model court cases.,CBS 11324 ; ZA 97:1–25; identified in S08 bibliography,NO—bibliographic lead only,A genuinely Nippur-focused next source for testing legal formulae; not used as an observed transaction or as a fully consulted edition.
