Process_ID,Trigger,Documented_action,Persons_affected,Resources_obligations_affected,Observed_longer_term_consequence,Supporting_documents,Evidentiary_qualification
C-P01,Decision to appoint an heir; original motive not stated,Adoption and property/support agreement,Ur-Lumma; Lu-Bau; other potential heirs,Property and gate rights; lifetime provisions,Later estate documents retain Lu-Bau filiation and rights linked to Ur-Lumma; actual support delivery not documented,D01; D02/D03,Cross-document continuity depends on prosopographic identification; obligation and performance separated
C-P02,Division of Lu-Bau-linked estate,Itemized allocation and compensation,Nanna-meša; Adda-kalla,"Built/open property, fields, institutional shares, movable objects",Documented legal allocation; physical household separation not documented,D02/D03,One event in parallel witnesses
C-P03,Earlier gift and competing family interests,Compensation and waiver,Nin-kuzu; Nuska-amaḫ’s heirs,15 gin built property; silver; claims,A later document acknowledges the earlier gift; later residence not documented,D04,Prior act known retrospectively
C-P04,Marriage arrangement,Marriage plus appointment of four heirs,Nannāja; Lamassum; four men,Heirship; disputed silver term,Later adoption for probably the same Ninurta-muballiṭ; no realized Nannāja inheritance demonstrated,D05; D09,Common maternity and simultaneous affiliations unresolved
C-P05,Division of inherited estate,Partition with preferential share,Mannum; Munawwirum,"Buildings, institutional rights, movables",A same-year exchange explicitly uses inherited/preferential property,D06; D07,"Year 10 follows S01 re-edition, not older year 23"
C-P06,Agreement to exchange different resource types,Conveyance of built-property share against gate rights,Mannum; Munawwirum,12 gin built property; annual prebend fractions,Recorded alteration in resource mix; income and service performance not documented,D07,No necessary move of residence follows
C-P07,Claim for earlier expenditures,Expense record examined and entitlement transferred,Mannum; Ibbī-Enlil’s heirs,Recognized support/expense claim; one annual month of institutional rights,Settlement is recorded; subsequent receipt of benefits not documented,D08,Not a hypothetical maintenance promise
C-P08,Additional adoption arrangement,Adoption with contribution and exit conditions,Ninurta-muballiṭ; Ilī-ippalsam; Elmēšum,"Heirship, assets, repudiation exposure",Actual later inheritance from this couple not documented,D09,No automatic merger with D05’s family
C-P09,Desire to recover paternal property,Sale/redemption referring to prior purchase,Ninurta-rāʾim-zērim; Mannum-side vendors,Lot and title claims; silver,Legal return to earlier owner’s family recorded; actual occupation not documented,D11; D10 indirect,Exact earlier parcel linkage and Mannum’s death are reconstructed
C-P10,Decision by female property holder to adopt,Adoption with assets and lifetime support,Narāmtum; Ur-Pabilsaga; named dependents,Paternally gifted assets; grain/oil/wool; revocation terms,A later estate partition invokes his adoption; actual support performance not documented,D12; D14/D15,Separated endpoints; no continuous observation in between
C-P11,Settlement/division of Narāmtum estate,Separate allocations with adoption recited as title history,Narubtum; Ur-Pabilsaga; allocated enslaved people,"House portions, gardens, field, enslaved persons",Legally defined shares; later common residence/survivorship not documented in directly read sources,D14/D15; D16 editorially,Not three events; no new adoption between the partitioners established
C-P12,Repudiation dispute after a reported twenty-year relationship,Judges direct removal from heirship and no-claim instrument,Ilī-u-Šamaš; Amurrum-šēmi; future heirs,Adoptive succession claims,Recorded termination/exclusion; later social relations and compliance not documented,D18,Damaged narrative; absolute date and debt cause unverified
C-P13,Heir appointment following recalled earlier provision,Heirship instrument with continuing support and reserved benefit,Ipiq-Enlil; Nanna-amaḫ,"Institutional rights, provisions and lifetime enjoyment",Later exercise not documented; reservation itself recorded,D26,Supplementary: Nippur attribution uncertain
