Row ID,Case ID(s),Document(s) and date,Asset/resource,Named right-holder(s) / obligated person(s),Nature of right or obligation,User/occupant if known,Transfer mechanism,Kin/household connection,Creditor/institution connection,What is recorded versus prospective,Uncertainty / limit,Source reference,Claim ID(s)
D-R01,D-K03,"BE 6/2, 12; Old Babylonian",House interest,"Imgur-Ninurta, Ninurta-abi, Ninurta-gamil, Manutum → Sîn-līwir",Joint conveyance; individual fractional titles not specified,Not stated / not independently established,Sale,Three sons and mother,Buyer son of Enlil-mansi,Conveyance recorded; future claims waived,No equal-ownership or residence inference,"S01, pp. 3–4",D-C01; D-C02
D-R02,D-K02,"BE 6/2, 11; Old Babylonian",House interest conveyed by spouses,Damiq-ilišu and Narubtum → Nabi-Šamaš,Joint participation in transfer,Not stated / not independently established,Exchange,Husband and wife,Counterparty Nabi-Šamaš son of Imgua,Reciprocal conveyance recorded,Spouses’ precise shares unknown,"S01, pp. 17–18",D-C01; D-C02
D-R03,D-K02,"BE 6/2, 11; Old Babylonian",Countervailing house/courtyard interest,Nabi-Šamaš → Damiq-ilišu and Narubtum,Acquisition by both named spouses,Not stated / not independently established,Exchange with silver adjustment,Spouses acquire together,No loan identified,Reciprocal conveyance recorded,Boundary description is not a resident list,"S01, pp. 17–18",D-C01; D-C02
D-R04,D-K10,"BE 6/2, 32; Si 11/07/17",Divided house shares,"Four coheirs, including Abil-Martu",Allocated inheritance interests,Not stated / not independently established,Division,Three brothers and a nephew in the four-person group,None demonstrated,Division recorded,Legal division does not prove physical subdivision,"S01, pp. 25–26; S04, p. 22 n. 45",D-C03
D-R05,D-K11; D-K12; D-K13,"BE 6/2, 33–35; Si 11/08/09–11/09/05",Three previously allocated house shares,"Abil-Martu buys from Martu-malik, Libit-Enlil, Libit-Martu",Acquisition concentrating documented house claims,Not stated / not independently established,Three purchases after division,Buyer’s two brothers and nephew,No loan/default motive documented,Purchases recorded in a dated sequence,"Same property connection rests on dimensions/neighbors, not names alone","S01, pp. 3, 25–26; S04, p. 22",D-C03
D-R06,D-K18,"BE 6/2, 44; Si 14/11",New/old house portions and silver,Ninurta-nirgal and Rīm-Ištar,Equal listed allotments,Not stated / not independently established,Inheritance division,Heirs of Lugal-ezida,None demonstrated,Distribution recorded,Not necessarily their entire eventual inheritances,"S01, p. 20",D-C04
D-R07,D-K17,"BE 6/2, 43; Si 13/12","Enlil office entitlement, six months/year, with associated resources",Igi-šag; counterparty Sîn-išmeanni,Timed office/resource entitlement in allocation,Not stated / not independently established,Division and balancing transfer,Nephew and uncle,Enlil-linked office,Allocation recorded; service performance not observed,No ownership of the temple implied,"S01, pp. 22–23",D-C06
D-R08,D-K17,"BE 6/2, 43; Si 13/12",House portions and common exit,Igi-šag and Sîn-išmeanni,Separate allocated portions retain access connection,Not stated / not independently established,Division with retained common access,Nephew and uncle,None demonstrated,Access term specified,Cannot infer co-residence or locate the door archaeologically,"S01, pp. 22–23, 25",D-C07
D-R09,D-K17,"BE 6/2, 43; Si 13/12","Remaining house, field, garden resources",The same heirs,Assets reserved for a subsequent division,Not stated / not independently established,Deferred division,Shared inheritance relation continues for specified residue,None demonstrated,Future division stipulated,No universal or permanent indivisibility,"S01, p. 25",D-C01; D-C07
