Case ID,Document(s),Edition/pages,Date as used,Date basis,Nippur context,Museum/CDLI/field ID,Genre,Language,Consultation tier,What the record says or the source reports,What is not established,Linked claims,Source IDs
D-K01,"BE 6/2, 10","Poebel 1909, pp. 46–48",Hammurabi reign; exact date not independently resolved here,King named in narrative,Nippur attribution in Poebel; no securely verified house/locus association in this return.,Not verified,Litigation and recorded property settlement,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"An appeal and Nippur council proceedings culminate in an agreed house/plot conveyance between the heirs of Iškur-rabi and Ududu, connected with a Ninlil office and field transaction.",Not a demonstrated loan foreclosure; built/unbuilt terminology and exact equivalences require re-edition.,D-C16,S01
D-K02,"BE 6/2, 11","Poebel 1909, pp. 17–18",Old Babylonian; precise regnal date not resolved here,Edition/context,Nippur attribution in Poebel; no securely verified house/locus association in this return.,Not verified,House exchange,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,Damiq-ilišu and his wife Narubtum exchange house interests with Nabi-Šamaš son of Imgua; silver adjustment also recorded.,No independent identification of residents; no equal fractional shares assigned to the spouses.,D-C01; D-C02,S01
D-K03,"BE 6/2, 12","Poebel 1909, pp. 3–4",Old Babylonian; precise regnal date not resolved here,Edition/context,Nippur attribution in Poebel; no securely verified house/locus association in this return.,Not verified,House sale,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"Three sons, Imgur-Ninurta, Ninurta-abi, Ninurta-gamil, and their mother Manutum participate in conveying a house to Sîn-līwir son of Enlil-mansi.",Co-conveyance alone does not assign identical ownership shares. Price omitted because the old transcription/translation requires checking.,D-C01; D-C02,S01
D-K04,"BE 6/2, 15","Poebel 1909, pp. 40–41; catalogue p. 147",Hammurabi 38b/12/16 in Poebel’s catalogue,1909 year-name attribution; not silently modern-normalized,Nippur attribution in Poebel; no securely verified house/locus association in this return.,Istanbul Ni 439,Grain loan,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,Ibqu-erṣetim son of Sîn-lidiš advances 12 gur to Ziyatum son of Ur-Ennugi and Ibi-Ninšah son of Nūr-Ninšah. Text says not bearing interest; harvest repayment at Nippur karum stipulated.,No receipt proving repayment; no total-cost calculation; relationship between the two recipients not stated.,D-C11; D-C13; D-C15,S01
D-K05,"BE 6/2, 16","Poebel 1909, p. 40; catalogue p. 147",Hammurabi 39/06 in Poebel’s catalogue,1909 catalogue,Nippur(?) in Poebel’s catalogue; local attribution retained as uncertain.,CBS 3803; CDLI P260176 identified in search index only,Grain loan with silver interest,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,Ḫabanatum and a son Damu-[…] receive grain from Ninurta-mansi son of Damiq-ilišu; grain and 15 shekels silver interest are due at harvest.,Principal quantity omitted because OCR is inconsistent; broken son’s name and uncertain Nippur provenance. No liability assigned to unnamed relatives.,D-C12; D-C13,S01
D-K06,"BE 6/2, 21","Poebel 1909, p. 41; catalogue p. 147",Samsu-iluna 04/06/22,1909 catalogue,Nippur attribution in Poebel; no securely verified house/locus association in this return.,Istanbul Ni 1846,Brick advance / obligation to return bricks,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"Nabi-Šamaš supplies bricks to Igi-Nanna-šu-algin, with equivalent bricks due at the beginning of the named month.",No verified identity match with every other Nabi-Šamaš; no evidence of actual discharge. Quantity omitted.,D-C12,S01
D-K07,"BE 6/2, 23","Poebel 1909, pp. 20–22; catalogue p. 147",Samsu-iluna 04/10/21,1909 catalogue,Nippur attribution in Poebel; no securely verified house/locus association in this return.,Istanbul Ni 1917,Inheritance division associated with adoption,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,Narubtum daughter of Migir-Enlil and Ur-Pabilsagga receive house/garden portions and named enslaved persons; field allocation balances part of the distribution.,"Full genealogy, precise house areas, and proportional inheritance rule not reconstructed. Allocation does not reveal enslaved persons’ residence or consent.",D-C01; D-C05,S01
D-K08,"BE 6/2, 26","Poebel 1909, pp. 23–24; catalogue p. 148",Samsu-iluna 06/06/14,1909 catalogue,Nippur attribution in Poebel; no securely verified house/locus association in this return.,Istanbul Ni 45,Multi-asset inheritance division,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"The four named heirs divide a portfolio including house-related goods, grain/date-related entitlements, and an enslaved woman valued in the allocation, with balancing payments.",Not a complete household balance sheet; some furniture/office readings in the old edition remain unverified.,D-C05,S01
D-K09,"BE 6/2, 29","Poebel 1909, pp. 43–44; catalogue p. 148",Samsu-iluna 11/03,"1909 catalogue, page image checked",Nippur attribution in Poebel; no securely verified house/locus association in this return.,CBS 10890,Field lease / cultivation agreement,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"Ibgatum son of Ur-Duazagga grants Damu-iddinam cultivation of 4 gan described as in the field of Ninunu, with a one-third yield share as annual rent in the edition.",No harvest account or proof of rent delivery; annual rent does not independently establish a one-year lease duration or every underlying title.,D-C14,S01
D-K10,"BE 6/2, 32","Poebel 1909, pp. 25–26; catalogue p. 148",Samsu-iluna 11/07/17,"1909 catalogue; confirmed in Meinhold 2014, p. 22 n. 45",Nippur attribution in Poebel; no securely verified house/locus association in this return.,CBS 9182,House inheritance division,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,Division among four coheirs supplies the antecedent shares to the three subsequent purchases in nos. 33–35.,Poebel’s general description as four brothers is corrected by the relationships; no proof of immediate architectural subdivision.,D-C03,S01; S04
D-K11,"BE 6/2, 33","Poebel 1909, p. 3 and pp. 25–26; catalogue p. 149",Samsu-iluna 11/08/09,"Catalogue; Meinhold 2014, p. 22 n. 45",Nippur attribution in Poebel; no securely verified house/locus association in this return.,CBS 7002; tablet and case,House-share purchase,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,Abil-Martu purchases the share associated with Martu-malik son of Eriš-sumatum after the preceding partition.,"One purchase, not separate events for tablet and envelope; motives and occupancy unrecorded.",D-C03,S01; S04
D-K12,"BE 6/2, 34","Poebel 1909, pp. 25–26; catalogue p. 149",Samsu-iluna 11/08/21,"Catalogue; Meinhold 2014, p. 22 n. 45",Nippur attribution in Poebel; no securely verified house/locus association in this return.,CBS 11558; case,House-share purchase,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,The same buyer acquires Libit-Enlil’s share in the linked partition/purchase sequence.,"Party/parcel linking follows the edition and later correction, not name matching alone; no occupancy evidence.",D-C03,S01; S04
D-K13,"BE 6/2, 35","Poebel 1909, pp. 25–26; catalogue p. 149",Samsu-iluna 11/09/05,"Catalogue; Meinhold 2014, p. 22 n. 45",Nippur attribution in Poebel; no securely verified house/locus association in this return.,CBS 11660; case CBS 11562,House-share purchase,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"The same buyer acquires the share of Libit-Martu son of Abil-Šamaš, a nephew rather than a third brother.",The four coheirs were not four brothers. No demonstrated forced sale or financial distress.,D-C03,S01; S04
D-K14,"BE 6/2, 39","Poebel 1909, pp. 15–16; catalogue p. 150",Samsu-iluna 12/05/15,1909 catalogue,Nippur attribution in Poebel; no securely verified house/locus association in this return.,CBS 11565; tablet and case,Office/field exchange,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"Ilušu-bāni son of Utta-gallumeDU transfers a bundle of Kusu-linked office entitlements of two months per year to Enlil-lušag son of Sîn-iddinam, against field and silver consideration.",No title to an entire temple follows from transfer of its office entitlement. Office performance and proceeds not observed.,D-C06,S01
D-K15,"BE 6/2, 40","Poebel 1909, p. 35; catalogue p. 150",Samsu-iluna 13/01/28,1909 catalogue; translation page visually checked,Nippur attribution in Poebel; no securely verified house/locus association in this return.,CBS 7018,Marriage/property agreement,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,Ama-sukkal brings 19 shekels to Enlil-idzu. His repudiation triggers return plus half a mina; hers triggers forfeiture plus half a mina under the edition’s reading.,Not a divorce record; no proof of payment or actual day-to-day control of the contributed silver.,D-C08,S01
D-K16,"BE 6/2, 42","Poebel 1909, pp. 45–46; catalogue p. 150",Samsu-iluna 13/12,1909 catalogue,Nippur attribution in Poebel; no securely verified house/locus association in this return.,CBS 6055,Title-document transfer and future-claim undertaking,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"After Sîn-abūšu’s death, Aba-Enlil-dim receives title documents from Nannartum and is assigned responsibility for future complaints about them.","Document custody alone is not complete property ownership. Poebel’s temple-disposal explanation is an inference, not an explicit institutional sale.",D-C17,S01
D-K17,"BE 6/2, 43","Poebel 1909, pp. 22–23, 25; catalogue p. 150",Samsu-iluna 13/12,1909 catalogue,Nippur attribution in Poebel; no securely verified house/locus association in this return.,CBS 7016,Inheritance division with retained access and later division,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"Igi-šag son of Ina-Ekur-rabi and his uncle Sîn-išmeanni son of Enlil-mansi divide assets including an Enlil office, house and field interests; a common exit and remaining assets for future division are specified.",Shared exit does not establish shared residence; partially divided estate not a permanently indivisible household corporation.,D-C01; D-C06; D-C07,S01
D-K18,"BE 6/2, 44","Poebel 1909, p. 20; catalogue p. 150",Samsu-iluna 14/11,1909 catalogue,Nippur attribution in Poebel; no securely verified house/locus association in this return.,CBS 3430,Inheritance division,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"Ninurta-nirgal and Rīm-Ištar, heirs of Lugal-ezida, each receive the listed new-house and old-house areas plus 7 shekels.",Equality of listed allocations is not proof of universal equal inheritance or a complete inventory of prior transfers.,D-C04,S01
D-K19,"BE 6/2, 48","Poebel 1909, pp. 35–38; catalogue p. 151",Samsu-iluna 18/04/01,1909 catalogue,Nippur attribution in Poebel; no securely verified house/locus association in this return.,Istanbul Ni 1919,Marriage/adoption/inheritance/maintenance agreement,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,Awīlīja’s sons are assigned a filial relationship to Naramtum; her maintenance is linked to their inheritance. An eldest share is reserved before division of the residue.,Conditional sanctions are not observed enforcement. Broken quantities and disputed personal-status details are not used to infer routine practice.,D-C04; D-C09,S01
D-K20,"BE 6/2, 51","Poebel 1909, p. 43; catalogue p. 151",Samsu-iluna 20/03/21,1909 catalogue,Nippur attribution in Poebel; no securely verified house/locus association in this return.,Istanbul Ni 1847,Labor-hire agreement,Sumerian in the edition consulted,DIRECT EDITED TEXT; narrowly used for contracting and remuneration,Nabi-Šamaš contracts the labor of his son Iddin-Ištar to Lu-Sîn-si-anna for a specified period and grain remuneration.,"Son’s age, actual consent, residence, and slave/free classification not established here; no identity merger with other same-name persons.",D-C25,S01
D-K21,"BE 6/2, 64","Poebel 1909, pp. 12–14; Meinhold 2015, p. 15",Samsu-iluna 29/02/20,Modern identification/date in Meinhold 2015,Nippur attribution in Poebel; no securely verified house/locus association in this return.,Museum number not independently verified,House-plot repurchase,Sumerian in the edition consulted,DIRECT EDITED TEXT; no new tablet collation,"Ninurta-rāʾim-zērim son of Ninurta-manšum repurchases a paternal plot from the deceased Mannum-mēšu-liṣṣur’s brother, son, and wife.","Exact linkage to BE 6/2, 38 is contested; repurchase is not automatically redemption of a mortgage or proof of forced kin redemption.",D-C18; D-C23,S01; S04; S05
