Source_ID,Short_citation,Full_citation,Source_type,Scope_provenance,URL,Access_status,Notes,Accessed
S01,Meinhold 2015,"Meinhold, Wiebke. 2015. “Das Vermögen der Familie des Mannum-mēšu-liṣṣur.” Zeitschrift für Assyriologie 105(1): 7–29. DOI: 10.1515/za-2015-0003.",Original research; includes a new primary edition,"Mannum-mešu-liṣṣur dossier, Old Babylonian Nippur",https://www.academia.edu/40907916/Das_Verm%C3%B6gen_der_Familie_des_Mannum_m%C4%93%C5%A1u_li%E1%B9%A3%E1%B9%A3ur,DIRECT — relevant sections of author-uploaded full text,"Especially pp. 26–27, re-edition of MC 3, 51; chronology, genealogy and critique of adoption-centred wealth explanation. Parsed tables were not visually verified; no aggregate wealth totals adopted.",2026-09-19
S02,Meinhold 2014,"Meinhold, Wiebke. 2014. “Erbrecht nach altbabylonischen Kauf- und Tauschurkunden aus Nippur.” Zeitschrift für Altorientalische und Biblische Rechtsgeschichte 20: 11–32.",Original research,"Sales, exchanges, family property and inheritance, Nippur",https://www.academia.edu/40907963/Erbrecht_nach_altbabylonischen_Kauf_und_Tauschurkunden_aus_Nippur,DIRECT — relevant sections of author-uploaded full text,Distinction between property and inherited share; joint vendors; recoveries of earlier family property. Most additional texts cited by this article were not independently read.,2026-09-19
S03,Van Wyk 2019a,"Van Wyk, Susandra J. 2019. “‘Keeping Home and Hearth Together’: A Scribe’s Adaptation of Adoption and Inheritance Division Templates from Old Babylonian Nippur Scribal Schools.” Journal for Semitics 28(1), article 4472, 34 pp. DOI: 10.25159/2663-6573/4472.",Original research,Narāmtum–Ur-Pabilsaga–Narubtum dossier; scribal/legal interpretation,https://unisapressjournals.co.za/index.php/JSEM/article/download/4472/3737/29031,DIRECT — full PDF available; relevant sections read,"Printed pp. 3–4, 14–18, 22 and surrounding analysis; screenshots of printed pp. 4, 8, 18 and 22 inspected. Hypothetical genealogies, co-ownership and survivorship are not accepted as direct documentary facts. Date and metrology problems flagged.",2026-09-19
S04,Földi 2019,"Földi, Zsombor J. 2019. Review of Anne Goddeeris, The Old Babylonian Legal and Administrative Texts in the Hilprecht Collection Jena (TMH 10, 2016). Zeitschrift für Assyriologie 109(2): 247–268. DOI: 10.1515/za-2019-0018.",Scholarly review with original tablet collations,"Jena legal texts including TMH 10, 6 and 18",https://www.academia.edu/41034343/Review_of_A_Goddeeris_The_Old_Babylonian_Legal_and_Administrative_Texts_in_the_Hilprecht_Collection_Jena_with_a_contribution_by_Ursula_Seidl_TMH_10_2016_,DIRECT — relevant sections of author-uploaded full text,"Especially pp. 251–253: readings, dating corrections and envelope joins. Original collations make these observations primary editorial evidence, not merely a review opinion.",2026-09-19
S05,Stone and Owen 1991 / MC 3,"Stone, Elizabeth C., and David I. Owen. 1991. Adoption in Old Babylonian Nippur and the Archive of Mannum-mešu-liṣṣur. With a contribution by John R. Mitchell. Mesopotamian Civilizations 3. Winona Lake, IN: Eisenbrauns. ISBN 9780931464539.",Primary edition and original research,Nippur adoptions and Mannum dossier,https://www.eisenbrauns.org/books/titles/978-0-931464-53-9.html,PARTIAL — bibliography and selected text records; complete book not read,"Selected ancient texts accessed through CDLI and later re-edition S01, not through a full reading of this book. Bibliography: https://cdli.earth/publications/1667211 .",2026-09-19
S06,Goddeeris 2016 / TMH 10,"Goddeeris, Anne. 2016. The Old Babylonian Legal and Administrative Texts in the Hilprecht Collection Jena. With a contribution by Ursula Seidl. Texte und Materialien der Frau Professor Hilprecht Collection, Neue Folge 10. Wiesbaden: Harrassowitz. Two volumes. ISBN 9783447106511.",Primary edition and archive reconstruction,Old Babylonian Jena/Nippur material,https://cdli.earth/publications/108143,PARTIAL — selected digital text editions and bibliography; complete volumes not read,"TMH 10, 6 and 18a/b read digitally; related catalogue records checked. Larger family reconstructions remain indirect through S03/S04. Do not equate modern collection with one excavated archive.",2026-09-19
S07,Meinhold 2020,"Meinhold, Wiebke. 2020. “Zur Beendigung von Adoptionsverhältnissen in altbabylonischer Zeit. Der Fall des Ilī-u-Šamaš aus Nippur.” In J. Baldwin and J. Matuszak, eds., mu-zu an-za3-še3 kur-ur2-še3 ḫe2-ĝal2: Altorientalistische Studien zu Ehren von Konrad Volk, 163–189. dubsar 17. Münster: Zaphon. DOI: 10.2307/jj.18654682.14.",Original research and re-edition,"Nippur adoption revocation, SAOC 44, 24",https://doi.org/10.2307/jj.18654682.14,PARTIAL/INDIRECT — bibliographic record and indexed excerpts; full chapter not read,"Underlying revised SAOC 44, 24 transliteration consulted directly at D18, including explicitly credited Meinhold collations. Later family links and absolute dating not independently established.",2026-09-19
S08,Stone 1987 / SAOC 44,"Stone, Elizabeth C. 1987. Nippur Neighborhoods. Studies in Ancient Oriental Civilization 44. Chicago: Oriental Institute. DOI: 10.83354/czh7-zk49.",Excavation synthesis and primary text publication,Nippur TA/TB residential evidence,https://isac.uchicago.edu/publications/nippur-neighborhoods,PARTIAL — publisher/repository information and selected text D18; book PDF inaccessible,"Official page reproduces a review, not the full book. Repeated PDF links failed, including former saoc44.pdf (404). Architectural plans not independently consulted. Additional repository: https://commons.library.stonybrook.edu/amar/45/ .",2026-09-19
S09,Stone 1976,"Stone, Elizabeth C. 1976. Old Babylonian Contracts from Nippur. Photographs by Paul Zimansky. Chicago: Oriental Institute. DOI: 10.83354/dqrs-h420.",Primary publication,Nippur contracts; text apparatus and photographic microfiche,https://isac-assets.s3.amazonaws.com/isac-publications/old_babylonian_contracts.pdf?VersionId=piUZ0T91wxz1u4XHOUryvedbJ3A1hAJ3,PARTIAL — PDF text apparatus browsed,Not a complete examination of the photographic/microfiche corpus; no new tablet collation claimed.,2026-09-19
S10,Van Wyk 2019b,"Van Wyk, Susandra J. 2019. “Towards a Typology of Old Babylonian Adoption Recordings.” Journal for Semitics 28(1), article 4247, 24 pp. DOI: 10.25159/2663-6573/4247.",Original comparative research,"Old Babylonian, multiple places and documentary forms",https://unisapressjournals.co.za/index.php/JSEM/article/download/4247/3686/28360,DIRECT/PARTIAL — relevant PDF sections skimmed,Used for methodological comparison only. Its typology is not a count of Nippur acts or a local law code.,2026-09-19
